time,Travnik,Sarajevo,Mostar,Banja Luka,Tuzla,Bihac,Trebinje
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,0.011077960953116417,0.013491204008460045,0.013583814725279808,0.013982759788632393,0.017597109079360962,0.00966615229845047,0.016545619815587997
2021-01-02 07:00:00,0.025692295283079147,0.038815561681985855,0.039819248020648956,0.03991056978702545,0.08242486417293549,0.034318625926971436,0.046167630702257156
2021-01-02 08:00:00,0.04791376739740372,0.08803880214691162,0.10612870752811432,0.09541678428649902,0.17720742523670197,0.07688778638839722,0.12894785404205322
2021-01-02 09:00:00,0.08526313304901123,0.15059056878089905,0.17297446727752686,0.1466227024793625,0.2775636613368988,0.11655429005622864,0.2164585292339325
2021-01-02 10:00:00,0.10819709300994873,0.17328958213329315,0.14935122430324554,0.17350271344184875,0.3531780540943146,0.1324462592601776,0.25740647315979004
2021-01-02 11:00:00,0.11427831649780273,0.20831313729286194,0.1360209882259369,0.15091529488563538,0.35734179615974426,0.1267470419406891,0.2459557205438614
2021-01-02 12:00:00,0.09218136966228485,0.1964048445224762,0.09918779134750366,0.08212868869304657,0.25059735774993896,0.0839463621377945,0.18643608689308167
2021-01-02 13:00:00,0.05559021607041359,0.12940889596939087,0.0461035817861557,0.047109320759773254,0.13623546063899994,0.05438544973731041,0.11517955362796783
